# linear_a	angular_a	linear_error	angular_error
3.75	12	-0.001443991096	-0.005010000429
-0.01764702912	-0.03529405825	-0.001246959037	-0.002071596385
-0.01960779767	-0.03921559534	-0.0004354417928	0.00310597752
-0.0127451732	-0.02549034641	-0.0002294211487	0.004406663267
-0.02903208638	-0.06002498788	0.002503349821	0.008940330681
-0.02096791362	-0.09443464706	-0.0004520583606	-0.001189017686
-0.08823449224	-3.044089982	-0.0005262261819	0.0005685408466
-0.117647336	-4.058833093	-0.0004768040082	0.003314220839
-0.09411817175	-3.247076925	-0.0004323901216	0.006296307861
0.06128823909	1.316084292	0.0002192614179	0.003106217506
0.6129005107	13.16123202	-0.0009128382732	-0.004904382051
0.2758112502	5.922683689	-0.0007912773196	-0.009175546725
-0.554841014	-2.632268996	-0.0001882127342	-0.002691995837
-2.774181259	-13.16123202	0.0007317714305	0.002369709488
0.3189833151	1.513316193	0.0002649324406	-0.3671714406
3.010038958	14.28018482	-0.0003502779413	-2.460899411
-4.3	-20.4	0.000795800202	0.004131299477
0.4299282359	2.039659538	0.000434964448	0.001886228188
3.870071764	18.36034046	0.0006353733704	0.003673250576
-0.2554388231	-1.2118493	-0.0003976663234	0.002198608165
-0.8514865636	-4.039610674	-5.71E-05	0.003814452434
-0.8514865636	-4.039610674	0.0002835229275	0.005430296704
-0.8514865636	-4.039610674	0.0006241175529	0.007046140973
-0.8514865636	-4.039610674	0.0009475987709	0.00846222506
1.315902742	6.242887426	0.0004604322872	0.005165987925
2.345482336	11.12740457	-0.0004777606471	0.000715026097
-0.009999745686	-0.08333220557	4.66E-05	0.002697910614
-0.03333336512	-0.1666668256	-0.0007936943222	-0.001456861092
-0.0223530735	-0.1274515518	-0.0007847530927	-0.001405880471
-0.01960788934	-0.117647336	-0.0006006188386	0.0001060969522
-0.01470592635	-0.1132355343	-0.00041088582	0.001616348773
-0.02419344121	-0.1943541123	-0.0009091410686	-0.00207173189
-0.02580655879	-0.200645244	-0.0007378213851	5.39E-05
-0.006666475931	-0.1466654269	-0.0001589964673	0.005363794627
-0.03333336512	-0.3333336512	-0.001190114137	-0.003473044453
-0.01000015895	-0.2000013851	-0.0007690094608	0.001719970043
-0.01624992102	-0.2124994146	-0.0008097606389	0.001524218181
-0.02499987483	-0.2499987483	-0.0009356093967	0.0007819151501
-0.01208334674	-0.2774997526	-0.000930776058	0.0008929150512
-0.03333336512	-0.4000003815	-0.0008725492606	0.0007029198254
-0.01333349228	-0.2742872843	-0.0004101567381	0.001535714385
-0.01374993593	-0.3057135979	-0.0004046529713	0.001658007648
-0.02499987483	-0.3999979973	0.0003784043126	0.002085938044
-0.02466462	-0.3543906278	0.0003232709163	0.001927850146
-0.02439030971	-0.3170740263	-0.0008971070179	-0.003643399785
-0.01219525953	-0.2335378017	0.000168272875	0.001446398084
-0.01612897718	-0.2846772756	-2.88E-05	0.002037457901
-0.03225816971	-0.4193562062	-0.0008883813159	0.0007716196107
-0.01286262065	-0.2897136036	-0.0008832362676	0.0008875050521
-0.02500002384	-0.3750003576	-0.0008712515004	0.001912532656
-0.01375020862	-0.3698878693	-0.0008641784609	0.002214905685
-0.02249992847	-0.5313636864	-0.0008551784895	0.00242745116
-0.02500002384	-0.5500005245	-0.0003869579316	0.002000893722
-0.01124981523	-0.3862475622	-0.0003824538209	0.002155386889
-0.02500002384	-0.3750003576	-0.000343614969	0.001924279591
-0.01625020862	-0.4028417132	-0.0003116333653	0.00177360314
-0.01951209244	-0.2356094041	-0.0002881105676	-0.0005893772645
-0.02439016788	-0.2195115109	0.0002508036627	-0.0002398088391
-0.006097739683	-0.01778661976	0.0003121644344	-0.0002036070415
-0.003921518395	-0.2992059559	0.0001102254526	0.002812144299
-0.01960779767	-0.5686261325	-0.0003109186963	0.0009424870921
-0.01960779767	-0.5686261325	-9.80E-05	0.0008987187667
-0.02311270149	-0.4265211147	-0.0001839132969	0.0007140366278
-0.02500002384	-0.3500003338	-0.0005161551434	-7.65E-05
-0.008750160933	-0.4200013471	0.0002310854516	0.003066068117
-0.001219380575	-0.1272864687	-0.0006879281036	-0.001306382417
-0.02439030971	-0.170732168	-0.0006246622059	-0.0009656465148
-0.02439030971	-0.170732168	-0.0003998560084	-8.00E-05
-2.14E-13	-0.2975607646	-0.0003998560084	3.90E-05
-0.01290296332	-0.5164529444	0.0003111270725	0.002128284063
-0.03225816971	-0.5161307153	-0.0004806978645	-0.0007612823114
-0.00483886697	-0.07742187152	0.000461471243	0.0008066690191
-0.02580624966	-0.3338710113	0.0005032993206	0.0004214530145
-0.02419375034	-0.3411301808	1.35E-05	-0.0009374421968
